VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
VENDOR UNKNOWN BUYER TO SOURCE,Business;Remit to,V000001,,,USA,,VENDOR UNKNOWN BUYER TO SOURCE,L000355733,,,,07/31/2024 19:43:27,12/31/2154 23:59:59,,101
1 SOURCE OCCUPATIONAL HEALTH SOLUTIONS,Business;Remit to,V000004,"7501 WEST 15TH AVE
GARY, IN  46406-2267",GARY,USA,,1 SOURCE OCCUPATIONAL HEALTH SOLUTIONS,L000214505,IN,7501 WEST 15TH AVE,,04/18/2025 13:32:34,12/31/2154 23:59:59,46406-2267,101
1 SOURCE OCCUPATIONAL HEALTH SOLUTIONS,Business;Remit to,V000004,"1573 N CLINE AVE.
GRIFFITH, IN  46319",GRIFFITH,USA,,1 SOURCE OCCUPATIONAL HEALTH SOLUTIONS,L000024697,IN,1573 N CLINE AVE.,,12/13/2022 15:35:26,12/31/2154 23:59:59,46319,101
1ST PROPERTY SERVICES,Business;Remit to,V000006,"240 CHURCH STREET, SUITE 4A BOX 12
ALBANY, NY  12202",ALBANY,USA,,1ST PROPERTY SERVICES,L000024700,NY,"240 CHURCH STREET, SUITE 4A BOX 12",,12/20/2019 04:20:48,12/31/2154 23:59:59,12202,101
284 WOLF ROAD LLC,Business;Remit to,V000012,"300 E LAKE STREET
TERRIE O'CONNOR REALTORS, ATTN: JASMINE WIMBERLY
RAMSEY, NJ  07446",RAMSEY,USA,,284 WOLF ROAD LLC,L000024708,NJ,"300 E LAKE STREET
TERRIE O'CONNOR REALTORS, ATTN: JASMINE WIMBERLY",,10-04-2022 16:20,12/31/2154 23:59:59,07446,101
"3E, INC",Business;Remit to,V000013,"7065 E EIGHT MILE RD
WARREN, MI  48091",WARREN,USA,,"3E, INC",L000024710,MI,7065 E EIGHT MILE RD,,12/20/2019 04:20:54,12/31/2154 23:59:59,48091,101
A & M INDUSTRIAL SUPPLY,Remit to,V000018,"PO BOX 40001
NEWARK, NJ  07101-4000",NEWARK,USA,,A & M INDUSTRIAL SUPPLY,L000034766,NJ,PO BOX 40001,,05/13/2024 11:46:14,12/31/2154 16:59:59,07101-4000,101
A & M INDUSTRIAL SUPPLY,Business;Remit to,V000018,"37 WEST CHERRY STREET
RAHWAY, NJ  07065",RAHWAY,USA,,A & M INDUSTRIAL SUPPLY,L000024719,NJ,37 WEST CHERRY STREET,,12/20/2019 04:20:56,12/31/2154 23:59:59,07065,101
A BAR CODE BUSINESS,Remit to,V000020,"PO BOX 1270
LADY LAKE, FL  32158",LADY LAKE,USA,,"A BAR CODE BUSINESS, INC.",L000045305,FL,PO BOX 1270,,07-11-2018 08:04,12/31/2154 16:59:59,32158,101
A BAR CODE BUSINESS,Business;Remit to,V000020,"505 SUNBELT RD STE 8
THE VILLAGES, FL  32159",THE VILLAGES,USA,,A BAR CODE BUSINESS,L000024723,FL,505 SUNBELT RD STE 8,,12/20/2019 04:20:58,12/31/2154 23:59:59,32159,101
A&A QUICK PUMP,Business;Remit to,V000025,"608 N. HELTON ROAD
SPRINGVILLE, IN  47462",SPRINGVILLE,USA,,A&A QUICK PUMP,L000024732,IN,608 N. HELTON ROAD,,12/20/2019 04:21:01,12/31/2154 23:59:59,47462,101
A.C.E.S. ENVIRONMENTAL,Business;Remit to,V000029,"P.O. BOX 313
NEW BOSTON, MI  48164",NEW BOSTON,USA,,A.C.E.S ENVIRONMENTAL,L000024739,MI,P.O. BOX 313,,12/20/2019 04:21:02,12/31/2154 23:59:59,48164,101
A.R. PAQUETTE & COMPANY,Business;Remit to,V000030,"TRIUMPH BUSINESS CAPITAL 
PO BOX 610028
DALLAS, TX  75261-0028",DALLAS,USA,,A.R. PAQUETTE & COMPANY,L000024741,TX,"TRIUMPH BUSINESS CAPITAL 
PO BOX 610028",,05-10-2021 14:08,12/31/2154 23:59:59,75261-0028,101
"A-1 EXTERMINATORS, INC",Remit to,V000033,"PO BOX 310
LYNN, MA  01903-0310",LYNN,USA,,A-1 EXTERMINATORS,L000034767,MA,PO BOX 310,,03/19/2018 14:40:13,12/31/2154 16:59:59,01903-0310,101
AAA LAWN SERVICE & SNOW REMOVAL,Business;Remit to,V000038,"6250 CENTRAL
ROMULUS, MI  48174",ROMULUS,USA,,AAA LAWN SERVICE & SNOW REMOVAL,L000041504,MI,6250 CENTRAL,,12/20/2019 04:21:10,12/31/2154 23:59:59,48174,101
AAA SUPPLY CORPORATION,Business;Remit to,V000040,"608 ROUTE 41
SCHERERVILLE, IN  46375-1297",SCHERERVILLE,USA,,AAA SUPPLY CORPORATION,L000024759,IN,608 ROUTE 41,,12/20/2019 04:21:11,12/31/2154 23:59:59,46375-1297,101
AAA WIRE ROPE,Business;Remit to,V000041,"12650 SIBLEY ROAD, PO BOX 2153
RIVERVIEW, MI  48193",RIVERVIEW,USA,,AAA WIRE ROPE,L000024761,MI,"12650 SIBLEY ROAD, PO BOX 2153",,12/20/2019 04:21:13,12/31/2154 23:59:59,48193,101
AARON FENCE CO.,Business;Remit to,V000043,"4235 SOUTH 33RD WEST AVE.
TULSA, OK  74107",TULSA,USA,,AARON FENCE CO.,L000024765,OK,4235 SOUTH 33RD WEST AVE.,,12/20/2019 04:21:15,12/31/2154 23:59:59,74107,101
"AARON OIL CO., INC.",Remit to,V000044,"PO BOX 674220
DALLAS, TX  75267-4220",DALLAS,USA,,AARON OIL COMPANY LLC,L000091436,TX,PO BOX 674220,,11-05-2020 15:15,12/31/2154 23:59:59,75267-4220,101
"AARON OIL CO., INC.",Business;Remit to,V000044,"P O BOX 2304
MOBILE, AL  36652",MOBILE,USA,,"AARON OIL CO., INC.",L000024767,AL,P O BOX 2304,,12/20/2019 04:21:17,12/31/2154 23:59:59,36652,101
ABEL PUMPS LP,Business;Remit to,V000049,"PO BOX 933023
ATLANTA, GA  31193-3023",ATLANTA,USA,,ABEL PUMPS LP,L000034768,GA,PO BOX 933023,,03/19/2018 14:40:13,12/31/2154 16:59:59,31193-3023,101
